,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
3659,0.00911,https://api.spotify.com/v1/audio-analysis/3qsWIQCHN5x8MEQ2AnHNVY,Nicole Moudaber,0.775,473226,0.963,house,3qsWIQCHN5x8MEQ2AnHNVY,0.9,1,0.112,-8.572,0,0.103,127.002,4,Five Point Palm,https://api.spotify.com/v1/tracks/3qsWIQCHN5x8MEQ2AnHNVY,audio_features,spotify:track:3qsWIQCHN5x8MEQ2AnHNVY,0.639
3660,0.00975,https://api.spotify.com/v1/audio-analysis/3JQNGESiqNCrzXI0N3JfWa,Alex Miles,0.835,588500,0.854,house,3JQNGESiqNCrzXI0N3JfWa,0.948,7,0.0887,-8.642,1,0.0519,124.002,4,Umm Yeah,https://api.spotify.com/v1/tracks/3JQNGESiqNCrzXI0N3JfWa,audio_features,spotify:track:3JQNGESiqNCrzXI0N3JfWa,0.526
3661,0.000104,https://api.spotify.com/v1/audio-analysis/2ZHo4v3TudkK6uPDRDxC6j,Kasbah Zoo,0.857,531364,0.871,house,2ZHo4v3TudkK6uPDRDxC6j,0.708,5,0.552,-9.574,1,0.102,123.99,4,Palabras,https://api.spotify.com/v1/tracks/2ZHo4v3TudkK6uPDRDxC6j,audio_features,spotify:track:2ZHo4v3TudkK6uPDRDxC6j,0.584
3662,9.85e-05,https://api.spotify.com/v1/audio-analysis/349iWqrTOXMMYclemx1iZQ,Juan Sanchez,0.787,495974,0.712,house,349iWqrTOXMMYclemx1iZQ,0.884,0,0.092,-11.162,1,0.0543,125.996,4,Inner Sense,https://api.spotify.com/v1/tracks/349iWqrTOXMMYclemx1iZQ,audio_features,spotify:track:349iWqrTOXMMYclemx1iZQ,0.649
3663,0.00427,https://api.spotify.com/v1/audio-analysis/1LPgQ7oo8PXecDVsA1tMW3,Franck Valat,0.809,491520,0.966,house,1LPgQ7oo8PXecDVsA1tMW3,0.914,7,0.0621,-6.93,0,0.0413,124.987,4,H.U.R.T.S - Saccobros day remix,https://api.spotify.com/v1/tracks/1LPgQ7oo8PXecDVsA1tMW3,audio_features,spotify:track:1LPgQ7oo8PXecDVsA1tMW3,0.797
3664,0.00188,https://api.spotify.com/v1/audio-analysis/0EBjrzVhl9gy9q47TurUqW,UNER,0.803,507588,0.911,house,0EBjrzVhl9gy9q47TurUqW,0.824,2,0.0981,-10.074,1,0.0615,124.991,4,BassBoot,https://api.spotify.com/v1/tracks/0EBjrzVhl9gy9q47TurUqW,audio_features,spotify:track:0EBjrzVhl9gy9q47TurUqW,0.15
3665,0.00171,https://api.spotify.com/v1/audio-analysis/5974upRH7uHuhRkstgEhHu,T-Pain,0.436,219773,0.61,house,5974upRH7uHuhRkstgEhHu,0.0,9,0.217,-5.685,1,0.134,141.951,4,Bang Bang Pow Pow,https://api.spotify.com/v1/tracks/5974upRH7uHuhRkstgEhHu,audio_features,spotify:track:5974upRH7uHuhRkstgEhHu,0.0972
3666,0.00542,https://api.spotify.com/v1/audio-analysis/3kgMHXRiz0uiTs98HnhXWg,T-Pain,0.666,179493,0.65,house,3kgMHXRiz0uiTs98HnhXWg,0.0052,10,0.126,-6.419,0,0.346,173.814,4,Bottlez,https://api.spotify.com/v1/tracks/3kgMHXRiz0uiTs98HnhXWg,audio_features,spotify:track:3kgMHXRiz0uiTs98HnhXWg,0.471
3667,0.00257,https://api.spotify.com/v1/audio-analysis/72i7RmIR7NkDTijwXC21uR,T-Pain,0.673,217960,0.838,house,72i7RmIR7NkDTijwXC21uR,9.66e-05,4,0.409,-5.304,0,0.045,126.053,4,It's Not You (It's Me),https://api.spotify.com/v1/tracks/72i7RmIR7NkDTijwXC21uR,audio_features,spotify:track:72i7RmIR7NkDTijwXC21uR,0.599
3668,0.0737,https://api.spotify.com/v1/audio-analysis/618PLAztBDXovpz3PCalpf,T-Pain,0.454,184667,0.492,house,618PLAztBDXovpz3PCalpf,0.0,8,0.0559,-10.019,1,0.0646,84.895,4,Default Picture,https://api.spotify.com/v1/tracks/618PLAztBDXovpz3PCalpf,audio_features,spotify:track:618PLAztBDXovpz3PCalpf,0.269
3669,0.0697,https://api.spotify.com/v1/audio-analysis/2Rea6PxenESVsJfEaGBGsD,T-Pain,0.555,281280,0.742,house,2Rea6PxenESVsJfEaGBGsD,0.0,7,0.102,-5.495,0,0.22,83.85,4,5 O'Clock,https://api.spotify.com/v1/tracks/2Rea6PxenESVsJfEaGBGsD,audio_features,spotify:track:2Rea6PxenESVsJfEaGBGsD,0.352
3670,0.0943,https://api.spotify.com/v1/audio-analysis/25OepUvtgQo4L7XKLKh5FM,T-Pain,0.568,228707,0.489,house,25OepUvtgQo4L7XKLKh5FM,0.0,8,0.149,-8.314,1,0.0366,78.916,4,Sho-Time (Pleasure Thang),https://api.spotify.com/v1/tracks/25OepUvtgQo4L7XKLKh5FM,audio_features,spotify:track:25OepUvtgQo4L7XKLKh5FM,0.417
3671,0.0472,https://api.spotify.com/v1/audio-analysis/6Wcb3s6M0Kiek3a7XNhS6Z,T-Pain,0.465,261880,0.804,house,6Wcb3s6M0Kiek3a7XNhS6Z,0.0,0,0.778,-3.106,0,0.0812,107.927,5,Rock Bottom,https://api.spotify.com/v1/tracks/6Wcb3s6M0Kiek3a7XNhS6Z,audio_features,spotify:track:6Wcb3s6M0Kiek3a7XNhS6Z,0.372
3672,0.125,https://api.spotify.com/v1/audio-analysis/3IAErgL8mZnj4rypSBYnBr,T-Pain,0.682,177013,0.682,house,3IAErgL8mZnj4rypSBYnBr,0.0,10,0.222,-5.243,1,0.0936,160.229,4,Look at Her Go,https://api.spotify.com/v1/tracks/3IAErgL8mZnj4rypSBYnBr,audio_features,spotify:track:3IAErgL8mZnj4rypSBYnBr,0.513
3673,0.0108,https://api.spotify.com/v1/audio-analysis/4lXL6vdTKwBGN3YfKOvOZw,T-Pain,0.46,247853,0.561,house,4lXL6vdTKwBGN3YfKOvOZw,0.0,10,0.0895,-7.222,0,0.102,93.013,4,Mix'd Girl,https://api.spotify.com/v1/tracks/4lXL6vdTKwBGN3YfKOvOZw,audio_features,spotify:track:4lXL6vdTKwBGN3YfKOvOZw,0.195
3674,0.000208,https://api.spotify.com/v1/audio-analysis/5KTOmZ1q42RxSwrxV5WoOb,T-Pain,0.4,222960,0.573,house,5KTOmZ1q42RxSwrxV5WoOb,0.000222,9,0.292,-6.636,1,0.0451,178.825,4,I Don't Give A Fuk,https://api.spotify.com/v1/tracks/5KTOmZ1q42RxSwrxV5WoOb,audio_features,spotify:track:5KTOmZ1q42RxSwrxV5WoOb,0.167
3675,0.5,https://api.spotify.com/v1/audio-analysis/6yEccGzmcOpf4LVyKrV5P1,T-Pain,0.337,320853,0.259,house,6yEccGzmcOpf4LVyKrV5P1,0.0,11,0.116,-10.336,1,0.0299,75.149,4,Drowning Again,https://api.spotify.com/v1/tracks/6yEccGzmcOpf4LVyKrV5P1,audio_features,spotify:track:6yEccGzmcOpf4LVyKrV5P1,0.159
3676,0.0199,https://api.spotify.com/v1/audio-analysis/77qROcZTlfoyxIbVV2iM3E,T-Pain,0.517,194813,0.539,house,77qROcZTlfoyxIbVV2iM3E,3e-06,3,0.131,-7.962,0,0.0371,90.25,4,When I Come Home,https://api.spotify.com/v1/tracks/77qROcZTlfoyxIbVV2iM3E,audio_features,spotify:track:77qROcZTlfoyxIbVV2iM3E,0.273
3677,0.0452,https://api.spotify.com/v1/audio-analysis/2dYyMKEFQIRXzB6QYZWLIO,T-Pain,0.583,195987,0.712,house,2dYyMKEFQIRXzB6QYZWLIO,0.0,7,0.174,-6.618,1,0.054,159.901,4,Best Love Song,https://api.spotify.com/v1/tracks/2dYyMKEFQIRXzB6QYZWLIO,audio_features,spotify:track:2dYyMKEFQIRXzB6QYZWLIO,0.69
