,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
8836,0.014,https://api.spotify.com/v1/audio-analysis/2fjObZLFvmEEvzPiu7102L,Orjan Nilsen,0.565,370800,0.933,trance,2fjObZLFvmEEvzPiu7102L,0.608,3,0.0321,-2.54,1,0.0416,127.992,4,Burana - Original Mix,https://api.spotify.com/v1/tracks/2fjObZLFvmEEvzPiu7102L,audio_features,spotify:track:2fjObZLFvmEEvzPiu7102L,0.0677
8837,9.77e-05,https://api.spotify.com/v1/audio-analysis/7r0Ee3vkVRD4pNqokLd6gq,Orjan Nilsen,0.649,358680,0.786,trance,7r0Ee3vkVRD4pNqokLd6gq,0.861,1,0.0793,-3.925,1,0.0433,126.047,4,Filthy Fandango - Original Mix,https://api.spotify.com/v1/tracks/7r0Ee3vkVRD4pNqokLd6gq,audio_features,spotify:track:7r0Ee3vkVRD4pNqokLd6gq,0.0385
8838,0.0445,https://api.spotify.com/v1/audio-analysis/2gDQyDEjVuenXSvPi0HwLU,Orjan Nilsen,0.551,153728,0.959,trance,2gDQyDEjVuenXSvPi0HwLU,0.469,7,0.19,-2.131,0,0.0439,128.011,4,Burana - Radio Edit,https://api.spotify.com/v1/tracks/2gDQyDEjVuenXSvPi0HwLU,audio_features,spotify:track:2gDQyDEjVuenXSvPi0HwLU,0.0322
8839,0.00125,https://api.spotify.com/v1/audio-analysis/4EL9yiQqc9XKrWbKddBcRB,Orjan Nilsen,0.425,168271,0.945,trance,4EL9yiQqc9XKrWbKddBcRB,0.834,1,0.0869,-1.649,1,0.048,131.826,4,Filthy Fandango - Radio Edit,https://api.spotify.com/v1/tracks/4EL9yiQqc9XKrWbKddBcRB,audio_features,spotify:track:4EL9yiQqc9XKrWbKddBcRB,0.0586
8840,0.00079,https://api.spotify.com/v1/audio-analysis/6Lg1GvSIe1Tr1EHsM76aEj,Da Hool,0.794,213440,0.645,trance,6Lg1GvSIe1Tr1EHsM76aEj,0.903,7,0.0487,-7.926,1,0.0981,131.973,4,Meet Her At The Loveparade (Radio Edit) - Radio Edit,https://api.spotify.com/v1/tracks/6Lg1GvSIe1Tr1EHsM76aEj,audio_features,spotify:track:6Lg1GvSIe1Tr1EHsM76aEj,0.141
8841,0.000342,https://api.spotify.com/v1/audio-analysis/4QU0qOEiMKwAFD4OhFiM8J,Da Hool,0.798,575560,0.614,trance,4QU0qOEiMKwAFD4OhFiM8J,0.931,9,0.157,-9.175,0,0.0844,131.999,4,Meet Her At The Loveparade (Original Mix) - Original Mix,https://api.spotify.com/v1/tracks/4QU0qOEiMKwAFD4OhFiM8J,audio_features,spotify:track:4QU0qOEiMKwAFD4OhFiM8J,0.0583
8842,0.0278,https://api.spotify.com/v1/audio-analysis/1dZZMz6ZIR1b88wXQgwZHW,Da Hool,0.796,594667,0.657,trance,1dZZMz6ZIR1b88wXQgwZHW,0.897,2,0.0926,-9.726,1,0.0649,132.99,4,Meet Her At The Loveparade (Nalin & Kane Mix) - Nalin & Kane Mix,https://api.spotify.com/v1/tracks/1dZZMz6ZIR1b88wXQgwZHW,audio_features,spotify:track:1dZZMz6ZIR1b88wXQgwZHW,0.221
8843,0.000231,https://api.spotify.com/v1/audio-analysis/493Zb1e2WkloW2XhpO4xQl,Da Hool,0.675,193440,0.802,trance,493Zb1e2WkloW2XhpO4xQl,0.718,2,0.0582,-7.979,1,0.0402,132.992,4,Meet Her At The Loveparade (Hooligans 2001 Radio Edit) - Hooligans 2001 Radio Edit,https://api.spotify.com/v1/tracks/493Zb1e2WkloW2XhpO4xQl,audio_features,spotify:track:493Zb1e2WkloW2XhpO4xQl,0.604
8844,0.000185,https://api.spotify.com/v1/audio-analysis/082SzlqPRUBbIFqrrdQXlQ,Da Hool,0.632,193120,0.971,trance,082SzlqPRUBbIFqrrdQXlQ,0.85,2,0.227,-5.729,1,0.0322,139.916,4,Meet Her At The Loveparade (Fergie 7) - Fergie 7,https://api.spotify.com/v1/tracks/082SzlqPRUBbIFqrrdQXlQ,audio_features,spotify:track:082SzlqPRUBbIFqrrdQXlQ,0.529
8845,0.00141,https://api.spotify.com/v1/audio-analysis/0qZCHvm8Sd4sfClnTz46J3,Da Hool,0.654,563427,0.912,trance,0qZCHvm8Sd4sfClnTz46J3,0.908,7,0.0911,-6.241,1,0.0431,140.025,4,Meet Her At The Loveparade (Fergie Mix) - Fergie Mix,https://api.spotify.com/v1/tracks/0qZCHvm8Sd4sfClnTz46J3,audio_features,spotify:track:0qZCHvm8Sd4sfClnTz46J3,0.277
8846,0.0189,https://api.spotify.com/v1/audio-analysis/4RkJ2gHavUWtGWkceuOQa6,Da Hool,0.64,559613,0.875,trance,4RkJ2gHavUWtGWkceuOQa6,0.898,2,0.117,-8.085,1,0.0368,129.011,4,Meet Her At The Loveparade (Pete Heller Remix) - Pete Heller Remix,https://api.spotify.com/v1/tracks/4RkJ2gHavUWtGWkceuOQa6,audio_features,spotify:track:4RkJ2gHavUWtGWkceuOQa6,0.105
8847,0.000164,https://api.spotify.com/v1/audio-analysis/0x7nWlnaJ5BkpIV3YuB63g,Da Hool,0.722,507813,0.888,trance,0x7nWlnaJ5BkpIV3YuB63g,0.789,10,0.0924,-6.439,0,0.0597,129.964,4,Meet Her At The Loveparade (Airwave Remix) - Airwave Remix,https://api.spotify.com/v1/tracks/0x7nWlnaJ5BkpIV3YuB63g,audio_features,spotify:track:0x7nWlnaJ5BkpIV3YuB63g,0.378
8848,0.000163,https://api.spotify.com/v1/audio-analysis/1zEOhJMF5bkq0ngbcwEhA7,Da Hool,0.727,451440,0.74,trance,1zEOhJMF5bkq0ngbcwEhA7,0.842,10,0.127,-8.284,0,0.0524,132.988,4,Meet Her At The Loveparade (Hooligans 2001 Club Mix) - Hooligans 2001 Club Mix,https://api.spotify.com/v1/tracks/1zEOhJMF5bkq0ngbcwEhA7,audio_features,spotify:track:1zEOhJMF5bkq0ngbcwEhA7,0.748
8849,0.324,https://api.spotify.com/v1/audio-analysis/5SqdVoGQ60hlbbpbvb9qS7,Soundtrack & Theme Orchestra,0.642,119971,0.49,trance,5SqdVoGQ60hlbbpbvb9qS7,0.834,0,0.319,-12.861,1,0.0282,126.438,4,Theme From Dallas,https://api.spotify.com/v1/tracks/5SqdVoGQ60hlbbpbvb9qS7,audio_features,spotify:track:5SqdVoGQ60hlbbpbvb9qS7,0.842
8850,0.635,https://api.spotify.com/v1/audio-analysis/0BB89iCrn5gli5P6TUNG7V,Soundtrack & Theme Orchestra,0.736,40000,0.611,trance,0BB89iCrn5gli5P6TUNG7V,0.0532,9,0.361,-5.754,1,0.0575,81.86,4,Theme From Sex & The City,https://api.spotify.com/v1/tracks/0BB89iCrn5gli5P6TUNG7V,audio_features,spotify:track:0BB89iCrn5gli5P6TUNG7V,0.481
8851,0.459,https://api.spotify.com/v1/audio-analysis/3PlJrlgzy0x5z3ELWauphb,Soundtrack & Theme Orchestra,0.754,171915,0.467,trance,3PlJrlgzy0x5z3ELWauphb,0.958,3,0.181,-12.593,1,0.0287,96.989,4,Theme From Eastenders,https://api.spotify.com/v1/tracks/3PlJrlgzy0x5z3ELWauphb,audio_features,spotify:track:3PlJrlgzy0x5z3ELWauphb,0.559
8852,0.182,https://api.spotify.com/v1/audio-analysis/3QXXKuQ3EgFXmHS3nvmt3c,Soundtrack & Theme Orchestra,0.578,51201,0.312,trance,3QXXKuQ3EgFXmHS3nvmt3c,0.00854,0,0.112,-12.725,1,0.0313,171.952,5,Theme From Mission Impossible,https://api.spotify.com/v1/tracks/3QXXKuQ3EgFXmHS3nvmt3c,audio_features,spotify:track:3QXXKuQ3EgFXmHS3nvmt3c,0.722
8853,0.783,https://api.spotify.com/v1/audio-analysis/2hDO3RwuCi2IQGYq1K5ssQ,Soundtrack & Theme Orchestra,0.27,134997,0.156,trance,2hDO3RwuCi2IQGYq1K5ssQ,0.958,8,0.0476,-13.279,1,0.0289,83.955,4,Theme From Coronation Street,https://api.spotify.com/v1/tracks/2hDO3RwuCi2IQGYq1K5ssQ,audio_features,spotify:track:2hDO3RwuCi2IQGYq1K5ssQ,0.274
8854,0.75,https://api.spotify.com/v1/audio-analysis/3fl4yOvwFcBxyKjdSco3di,Soundtrack & Theme Orchestra,0.545,124009,0.436,trance,3fl4yOvwFcBxyKjdSco3di,0.166,10,0.557,-8.972,1,0.0305,122.931,4,Theme From Peter Gunn,https://api.spotify.com/v1/tracks/3fl4yOvwFcBxyKjdSco3di,audio_features,spotify:track:3fl4yOvwFcBxyKjdSco3di,0.811
8855,0.876,https://api.spotify.com/v1/audio-analysis/30taYj9woLhbBy48wSXtPc,Soundtrack & Theme Orchestra,0.442,97613,0.716,trance,30taYj9woLhbBy48wSXtPc,0.965,5,0.704,-10.005,1,0.0414,123.436,4,Theme From Monty Python's Flying Circus,https://api.spotify.com/v1/tracks/30taYj9woLhbBy48wSXtPc,audio_features,spotify:track:30taYj9woLhbBy48wSXtPc,0.927
8856,0.116,https://api.spotify.com/v1/audio-analysis/185KeoQn3rQGgkuBIAGmch,Soundtrack & Theme Orchestra,0.499,154959,0.562,trance,185KeoQn3rQGgkuBIAGmch,0.00186,5,0.128,-3.374,0,0.0293,107.018,3,Theme From The Persuaders,https://api.spotify.com/v1/tracks/185KeoQn3rQGgkuBIAGmch,audio_features,spotify:track:185KeoQn3rQGgkuBIAGmch,0.503
8857,0.0111,https://api.spotify.com/v1/audio-analysis/6vblORSnANiEZJ1im7Hyw3,Soundtrack & Theme Orchestra,0.384,196597,0.493,trance,6vblORSnANiEZJ1im7Hyw3,0.776,4,0.24,-12.213,0,0.0471,180.927,3,Theme From X-Files,https://api.spotify.com/v1/tracks/6vblORSnANiEZJ1im7Hyw3,audio_features,spotify:track:6vblORSnANiEZJ1im7Hyw3,0.0711
8858,0.000499,https://api.spotify.com/v1/audio-analysis/0T8L3n9W11hKu7MkKeuduN,Soundtrack & Theme Orchestra,0.587,127307,0.641,trance,0T8L3n9W11hKu7MkKeuduN,0.941,0,0.284,-10.417,0,0.0377,114.99,4,Theme From Knight Rider,https://api.spotify.com/v1/tracks/0T8L3n9W11hKu7MkKeuduN,audio_features,spotify:track:0T8L3n9W11hKu7MkKeuduN,0.847
8859,0.374,https://api.spotify.com/v1/audio-analysis/3ruE3dsS4naqvdchzVROQ1,Soundtrack & Theme Orchestra,0.788,82853,0.356,trance,3ruE3dsS4naqvdchzVROQ1,3.45e-06,5,0.0355,-12.165,1,0.329,124.07,4,Theme From The Addams Family,https://api.spotify.com/v1/tracks/3ruE3dsS4naqvdchzVROQ1,audio_features,spotify:track:3ruE3dsS4naqvdchzVROQ1,0.961
8860,0.16,https://api.spotify.com/v1/audio-analysis/1y03hvGO1buGyaf3ouPYri,Soundtrack & Theme Orchestra,0.304,279000,0.558,trance,1y03hvGO1buGyaf3ouPYri,0.637,2,0.106,-13.096,0,0.0467,124.26,4,Theme From 24,https://api.spotify.com/v1/tracks/1y03hvGO1buGyaf3ouPYri,audio_features,spotify:track:1y03hvGO1buGyaf3ouPYri,0.0524
8861,0.00562,https://api.spotify.com/v1/audio-analysis/6dnCQ2FOKgs0jOmYlzQ4CA,Soundtrack & Theme Orchestra,0.279,31000,0.84,trance,6dnCQ2FOKgs0jOmYlzQ4CA,0.845,0,0.409,-7.829,0,0.358,200.515,4,Theme From 3rd Rock From The Sun,https://api.spotify.com/v1/tracks/6dnCQ2FOKgs0jOmYlzQ4CA,audio_features,spotify:track:6dnCQ2FOKgs0jOmYlzQ4CA,0.574
8862,0.0426,https://api.spotify.com/v1/audio-analysis/3gVLM7bdz5xA3dyGygGqBE,Soundtrack & Theme Orchestra,0.463,126732,0.737,trance,3gVLM7bdz5xA3dyGygGqBE,0.785,11,0.522,-13.722,0,0.0436,115.687,4,Theme From Miami Vice,https://api.spotify.com/v1/tracks/3gVLM7bdz5xA3dyGygGqBE,audio_features,spotify:track:3gVLM7bdz5xA3dyGygGqBE,0.919
8863,0.0897,https://api.spotify.com/v1/audio-analysis/3euyVqHZHIgNVgSsly2rYm,Soundtrack & Theme Orchestra,0.648,171304,0.551,trance,3euyVqHZHIgNVgSsly2rYm,0.846,9,0.118,-13.373,0,0.0275,123.981,1,Theme From The Bill,https://api.spotify.com/v1/tracks/3euyVqHZHIgNVgSsly2rYm,audio_features,spotify:track:3euyVqHZHIgNVgSsly2rYm,0.691
8864,0.0197,https://api.spotify.com/v1/audio-analysis/58ksi9yr8ZqCHfqNRZcmA2,Soundtrack & Theme Orchestra,0.631,177208,0.635,trance,58ksi9yr8ZqCHfqNRZcmA2,0.905,0,0.253,-10.8,1,0.0292,130.043,4,Theme From The Avengers,https://api.spotify.com/v1/tracks/58ksi9yr8ZqCHfqNRZcmA2,audio_features,spotify:track:58ksi9yr8ZqCHfqNRZcmA2,0.877
8865,1.6e-05,https://api.spotify.com/v1/audio-analysis/6k8CMXte7NncyR49ZGUe3t,Soundtrack & Theme Orchestra,0.216,62000,0.908,trance,6k8CMXte7NncyR49ZGUe3t,0.86,6,0.112,-12.52,0,0.0551,193.969,4,Theme From Buffy The Vampire Slayer,https://api.spotify.com/v1/tracks/6k8CMXte7NncyR49ZGUe3t,audio_features,spotify:track:6k8CMXte7NncyR49ZGUe3t,0.174
8866,0.783,https://api.spotify.com/v1/audio-analysis/4Pv0gnQJeTdgKlyRFnJ0O5,Soundtrack & Theme Orchestra,0.547,47276,0.305,trance,4Pv0gnQJeTdgKlyRFnJ0O5,0.00778,0,0.188,-11.96,1,0.0456,90.104,4,Theme From The Simpsons,https://api.spotify.com/v1/tracks/4Pv0gnQJeTdgKlyRFnJ0O5,audio_features,spotify:track:4Pv0gnQJeTdgKlyRFnJ0O5,0.699
8867,0.21,https://api.spotify.com/v1/audio-analysis/0TVo7osw5CpkmzAWf4GZVH,Soundtrack & Theme Orchestra,0.503,36000,0.737,trance,0TVo7osw5CpkmzAWf4GZVH,0.743,10,0.155,-13.392,0,0.054,120.287,4,Theme From Lost,https://api.spotify.com/v1/tracks/0TVo7osw5CpkmzAWf4GZVH,audio_features,spotify:track:0TVo7osw5CpkmzAWf4GZVH,0.451
8868,0.000339,https://api.spotify.com/v1/audio-analysis/18bCq1hRGuhYXdGghWC9Fp,Soundtrack & Theme Orchestra,0.528,196236,0.538,trance,18bCq1hRGuhYXdGghWC9Fp,0.856,7,0.155,-13.611,1,0.0297,123.42,4,Theme From Magnum P.I.,https://api.spotify.com/v1/tracks/18bCq1hRGuhYXdGghWC9Fp,audio_features,spotify:track:18bCq1hRGuhYXdGghWC9Fp,0.582
